hotel,is_canceled,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,is_repeated_guest,reserved_room_type,deposit_type,customer_type,price,reservation_status,reservation_status_date,name,email,phone_number,credit_card
Resort Hotel,0,2016,January,1,1,0,1,2,0.0,0,BB,RUS,0,A,No Deposit,Transient-Party,59.94,Check-Out,2016-01-02,Sherri Ortiz,Ortiz.Sherri37@mail.com,315-741-7352,************2125
Resort Hotel,0,2016,January,1,1,0,1,2,2.0,0,BB,RUS,0,H,No Deposit,Transient-Party,116.1,Check-Out,2016-01-02,John Patel,JPatel@yandex.com,779-515-8181,************9807
Resort Hotel,0,2016,January,1,1,0,1,2,0.0,0,BB,PRT,0,D,No Deposit,Transient,89.0,No-Show,2016-01-01,Ashley Stewart,Ashley_Stewart47@aol.com,328-942-1542,************6029
Resort Hotel,0,2016,January,1,1,0,2,2,0.0,0,HB,ARG,0,A,No Deposit,Transient,73.46,Check-Out,2016-01-03,Vanessa Taylor,Vanessa.T74@outlook.com,684-380-1411,************1935
Resort Hotel,1,2016,January,1,1,0,2,2,2.0,0,BB,PRT,0,G,No Deposit,Transient,119.0,Canceled,2015-12-22,Erik Jordan,Erik_Jordan@yandex.com,649-894-9639,************2421
Resort Hotel,1,2016,January,1,1,1,2,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,57.9,Canceled,2015-12-20,John Rich,John.Rich@att.com,553-628-6390,************2631
Resort Hotel,0,2016,January,1,1,0,2,2,1.0,0,HB,ARG,0,A,No Deposit,Transient,90.17,Check-Out,2016-01-03,Eric White,EWhite@yandex.com,103-323-0529,************3343
Resort Hotel,0,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Check-Out,2015-11-16,Robert Smith,RSmith97@verizon.com,176-138-9283,************1399
Resort Hotel,0,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Check-Out,2015-11-16,David Pierce,Pierce_David@gmail.com,418-461-4183,************6095
Resort Hotel,0,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Check-Out,2015-11-16,Todd Mitchell,Todd_M51@mail.com,491-988-0800,************3621
Resort Hotel,0,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Check-Out,2015-11-16,Jennifer Munoz,JenniferMunoz@protonmail.com,473-380-0858,************8637
Resort Hotel,0,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Check-Out,2015-11-16,April Norris,April.N@xfinity.com,628-276-6265,************6810
Resort Hotel,0,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Check-Out,2015-11-16,Marc Conner,Marc_C91@outlook.com,850-849-3378,************1690
Resort Hotel,0,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Check-Out,2015-11-16,William Whitaker,William.Whitaker@comcast.net,854-375-2354,************4274
Resort Hotel,0,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Check-Out,2015-11-16,Mark Blair,Mark.Blair12@yahoo.com,949-594-2900,************2085
Resort Hotel,0,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Check-Out,2015-11-16,Martha Merritt,Merritt_Martha@hotmail.com,328-079-3481,************3350
Resort Hotel,1,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Canceled,2015-11-16,Alicia Williams,Williams_Alicia12@mail.com,652-076-0164,************6403
